,symbol,signal,req,trades,pv,minutes,retrack_days
524,eth,0.1,0.25,9,385.513459960646,6400.0,2
452,eth,0.1,0.25,8,384.4735166908212,7920.0,1
590,eth,0.05,0.35,12,340.9003952390507,6480.0,3
446,eth,0.05,0.35,12,338.97561690901085,6480.0,1
586,eth,0.05,0.15,12,315.10493963042785,6000.0,3
444,eth,0.05,0.25,11,314.5490046049692,7330.909090909091,1
442,eth,0.05,0.15,12,313.96243988783874,6240.0,1
516,eth,0.05,0.25,10,312.2950435298308,7920.0,2
660,eth,0.05,0.25,11,312.241188795826,7200.0,4
658,eth,0.05,0.15,13,312.08379591397653,5206.153846153846,4
514,eth,0.05,0.15,12,311.0881848812141,5520.0,2
668,eth,0.1,0.25,8,308.9437583787351,6840.0,4
588,eth,0.05,0.25,10,308.4561450770179,7488.0,3
596,eth,0.1,0.25,8,307.67610008376397,7380.0,3
587,eth,0.05,0.2,10,305.9333295792873,7632.0,3
443,eth,0.05,0.2,11,305.9333295792873,6938.181818181818,1
659,eth,0.05,0.2,11,303.0061292356649,6676.363636363636,4
585,eth,0.05,0.1,14,296.53230459870923,4731.428571428572,3
517,eth,0.05,0.3,12,294.0614021205764,6240.0,2
445,eth,0.05,0.3,13,290.8888546761306,5316.923076923077,1
741,eth,0.1,0.3,7,290.61437681989776,8640.0,5
677,eth,0.15,0.3,5,289.7693324876513,8640.0,4
453,eth,0.1,0.3,6,287.76294752968613,12000.0,1
821,eth,0.15,0.3,5,287.22259988153576,8640.0,6
589,eth,0.05,0.3,11,287.14489987434126,6283.636363636364,3
669,eth,0.1,0.3,6,287.11620322322614,11040.0,4
525,eth,0.1,0.3,7,286.195762226287,9051.42857142857,2
597,eth,0.1,0.3,6,285.8763997983326,12000.0,3
813,eth,0.1,0.3,6,285.85477070296804,11760.0,6
663,eth,0.05,0.4,13,285.33801581957783,4984.615384615385,4
447,eth,0.05,0.4,19,279.374523483813,2955.7894736842104,1
591,eth,0.05,0.4,14,276.23082649487156,3908.5714285714284,3
802,eth,0.05,0.15,12,269.79587577306324,5040.0,6
450,eth,0.1,0.15,8,268.17690879041146,4320.0,1
441,eth,0.05,0.1,14,267.5615156594267,3908.5714285714284,1
515,eth,0.05,0.2,10,252.5704365508172,6624.0,2
804,eth,0.05,0.25,10,252.54113797308122,7632.0,6
667,eth,0.1,0.2,6,251.95845814784772,8880.0,4
731,eth,0.05,0.2,10,251.13615600438345,6768.0,5
595,eth,0.1,0.2,6,250.82031311448614,10080.0,3
523,eth,0.1,0.2,6,250.82031311448614,10080.0,2
451,eth,0.1,0.2,6,250.17120605591896,10080.0,1
750,eth,0.15,0.35,4,249.82693510426145,11880.0,5
822,eth,0.15,0.35,4,249.25528976281842,11880.0,6
12,btc,0.05,0.25,11,248.91601066947666,7330.909090909091,1
812,eth,0.1,0.25,7,247.8579214375431,6377.142857142857,6
748,eth,0.15,0.25,5,247.7634604681789,6048.0,5
662,eth,0.05,0.35,11,247.5746736289456,5629.090909090909,4
518,eth,0.05,0.35,11,247.44011228135489,5760.0,2
670,eth,0.1,0.35,5,247.05749920046344,11520.0,4
740,eth,0.1,0.25,7,246.06900269023578,6171.428571428572,5
604,eth,0.15,0.25,5,245.5445361817293,8640.0,3
156,btc,0.05,0.25,7,244.8071444274755,11314.285714285714,3
513,eth,0.05,0.1,12,240.83368290788215,4440.0,2
657,eth,0.05,0.1,11,239.0499667307678,4581.818181818182,4
593,eth,0.1,0.1,10,238.08271104185064,2016.0,3
666,eth,0.1,0.15,7,234.7450900142502,4320.0,4
522,eth,0.1,0.15,7,232.98476717172585,5142.857142857143,2
605,eth,0.15,0.3,4,223.07375208093057,11880.0,3
661,eth,0.05,0.3,8,220.19307277403004,7380.0,4
765,eth,0.25,0.3,3,220.1417631481591,9120.0,5
368,btc,0.05,0.05,15,216.86527028177267,1632.0,6
665,eth,0.1,0.1,9,216.83963866848566,3040.0,4
737,eth,0.1,0.1,9,216.79376328979805,1600.0,5
440,eth,0.05,0.05,17,211.83772545551912,2287.0588235294117,1
27,btc,0.15,0.2,4,211.17178425122012,9000.0,1
11,btc,0.05,0.2,7,209.96071274087507,11108.57142857143,1
803,eth,0.05,0.2,7,209.6868282033906,8434.285714285714,6
739,eth,0.1,0.2,5,209.26706713490546,9216.0,5
83,btc,0.05,0.2,6,208.65077603590967,12960.0,2
819,eth,0.15,0.2,4,208.42906791209884,3960.0,6
811,eth,0.1,0.2,5,208.31930315061302,10656.0,6
155,btc,0.05,0.2,6,208.22487411929012,12960.0,3
675,eth,0.15,0.2,5,207.65702679529736,3456.0,4
154,btc,0.05,0.15,7,204.1741025276719,10080.0,3
170,btc,0.15,0.15,5,203.80387281641734,6624.0,3
730,eth,0.05,0.15,10,203.74286930500395,5616.0,5
584,eth,0.05,0.05,16,203.00659776742472,1980.0,3
810,eth,0.1,0.15,6,202.70055794447765,5760.0,6
594,eth,0.1,0.15,6,202.70055794447765,5760.0,3
735,eth,0.05,0.4,12,199.99441420822785,3720.0,5
801,eth,0.05,0.1,9,199.09642237864145,6240.0,6
535,eth,0.15,0.4,4,198.70693554647724,8280.0,2
161,btc,0.1,0.1,7,198.4212549439045,4937.142857142857,3
519,eth,0.05,0.4,14,198.40535146535873,3805.714285714286,2
20,btc,0.1,0.25,5,198.01337108822844,12096.0,1
679,eth,0.15,0.4,4,197.61870887130428,7560.0,4
31,btc,0.15,0.4,3,197.18306117564944,14880.0,1
28,btc,0.15,0.25,3,197.01860565252736,21120.0,1
455,eth,0.1,0.4,7,196.78061360734924,6994.285714285715,1
828,eth,0.2,0.25,3,196.75317476168445,3360.0,6
673,eth,0.15,0.1,7,196.73278728276426,822.8571428571429,4
687,eth,0.2,0.4,3,196.65863435330834,8640.0,4
831,eth,0.2,0.4,3,196.56397289043812,8640.0,6
95,btc,0.1,0.4,5,196.54610576642912,11520.0,2
23,btc,0.1,0.4,4,196.45908085030888,13680.0,1
92,btc,0.1,0.25,4,196.40133144302447,14760.0,2
599,eth,0.1,0.4,6,196.38086728670294,7920.0,3
167,btc,0.1,0.4,4,196.32970093555198,15120.0,3
823,eth,0.15,0.4,3,196.28933161474805,10080.0,6
615,eth,0.2,0.4,3,196.2886242603632,9600.0,3
175,btc,0.15,0.4,3,196.27062977197195,14880.0,3
228,btc,0.05,0.25,6,196.24913278659187,10080.0,4
759,eth,0.2,0.4,2,196.15892708731863,13680.0,5
671,eth,0.1,0.4,6,196.1078002956445,7200.0,4
84,btc,0.05,0.25,8,195.8147198224254,8280.0,2
592,eth,0.1,0.05,13,189.38370674600608,0.0,3
742,eth,0.1,0.35,5,186.03735948604674,10080.0,5
734,eth,0.05,0.35,10,185.54171392492793,5184.0,5
806,eth,0.05,0.35,8,184.76935333254585,7020.0,6
230,btc,0.05,0.35,6,184.078104740044,10560.0,4
94,btc,0.1,0.35,5,183.7429217675322,9792.0,2
598,eth,0.1,0.35,5,183.66455289098045,10944.0,3
542,eth,0.2,0.35,3,183.5569218724474,4320.0,2
174,btc,0.15,0.35,3,183.21084504034462,14400.0,3
166,btc,0.1,0.35,4,183.1615268381593,11160.0,3
462,eth,0.15,0.35,3,183.13294424922307,4800.0,1
534,eth,0.15,0.35,3,183.13294424922307,4800.0,2
86,btc,0.05,0.35,8,183.06612569110368,8100.0,2
686,eth,0.2,0.35,3,183.05410753032197,4320.0,4
22,btc,0.1,0.35,5,182.98898262660964,8928.0,1
606,eth,0.15,0.35,4,182.97487746593248,7560.0,3
678,eth,0.15,0.35,3,182.83752407163297,9600.0,4
614,eth,0.2,0.35,3,182.74385991586283,5280.0,3
758,eth,0.2,0.35,3,182.72811789723247,4800.0,5
30,btc,0.15,0.35,3,182.66054050336118,8160.0,1
526,eth,0.1,0.35,5,182.62087896759627,10944.0,2
814,eth,0.1,0.35,4,182.62087896759627,13680.0,6
470,eth,0.2,0.35,3,182.5742065687193,4320.0,1
512,eth,0.05,0.05,13,182.34787415314312,2658.4615384615386,2
454,eth,0.1,0.35,5,182.33239626674893,10944.0,1
89,btc,0.1,0.1,6,181.03546240396506,5520.0,2
449,eth,0.1,0.1,6,179.61025609627166,6480.0,1
729,eth,0.05,0.1,8,179.25459425348967,6120.0,5
242,btc,0.15,0.15,4,178.94886831608025,8280.0,4
529,eth,0.15,0.1,6,178.77402537831244,1680.0,2
369,btc,0.05,0.1,6,178.4997479598052,10080.0,6
82,btc,0.05,0.15,6,178.3968198388599,11520.0,2
9,btc,0.05,0.1,7,178.10804468328735,9874.285714285714,1
521,eth,0.1,0.1,7,178.01166659217617,4114.285714285715,2
98,btc,0.15,0.15,4,177.58802281234227,7920.0,2
10,btc,0.05,0.15,6,177.23655837119537,12720.0,1
370,btc,0.05,0.15,5,177.0019618109599,13248.0,6
18,btc,0.1,0.15,4,176.48545465472188,9720.0,1
