,symbol_id,exchange_id,symbol_type,asset_id_base,asset_id_quote,data_end,data_quote_end,price,symbol_id_exchange,asset_id_base_exchange,asset_id_quote_exchange,price_precision,size_precision,option_type_is_call,option_strike_price,option_contract_unit,option_exercise_style,option_expiration_time,data_trade_end,future_delivery_time,future_contract_unit,future_contract_unit_asset,asset_id_unit,data_start,data_quote_start,data_orderbook_start,data_orderbook_end,data_trade_start,volume_1hrs,volume_1hrs_usd,volume_1day,volume_1day_usd,index_id,index_display_name,index_display_description,contract_delivery_time,contract_unit,contract_id,contract_display_name,contract_display_description
323,COINBASE_SPOT_BTC_USD,COINBASE,SPOT,BTC,USD,2022-01-06,2022-01-06T15:39:13.1559070Z,42917.465,BTC-USD,BTC,USD,0.01,1e-08,,,,,,2022-01-06T15:36:41.7650230Z,,,,,2015-01-14,2015-05-17T00:51:36.2870000Z,2015-05-17T00:51:36.2870000Z,2020-08-05T14:37:54.0490500Z,2015-01-14T16:07:05.0000000Z,1416.22563891,60793467.68,30473.15523028,1308102838.14,,,,,,,,
390,COINBASE_SPOT_ETH_USD,COINBASE,SPOT,ETH,USD,2022-01-06,2022-01-06T15:38:31.4844770Z,3393.065,ETH-USD,ETH,USD,0.01,1e-08,,,,,,2022-01-06T15:38:30.2849350Z,,,,,2016-06-09,2016-06-09T15:18:25.8361573Z,2016-06-09T15:18:25.8361573Z,2020-08-05T14:37:54.1422420Z,2016-06-09T15:33:22.5865670Z,18459.58216087,62650757.72,383462.18010248,1301448533.92,,,,,,,,
418,COINBASE_SPOT_LTC_USD,COINBASE,SPOT,LTC,USD,2022-01-06,2022-01-06T15:29:14.8229920Z,134.895,LTC-USD,LTC,USD,0.01,1e-08,,,,,,2022-01-06T15:25:08.3285120Z,,,,,2016-09-06,2016-09-06T12:07:52.7279532Z,2016-09-06T12:07:52.7279532Z,2020-08-05T14:37:53.8087960Z,2016-09-06T12:32:41.2650000Z,23252.84410159,3139365.15,450033.61996478,60759013.29,,,,,,,,
7182,COINBASE_SPOT_BCH_USD,COINBASE,SPOT,BCH,USD,2022-01-06,2022-01-06T15:29:06.0135320Z,393.285,BCH-USD,BCH,USD,0.01,1e-08,,,,,,2022-01-06T15:34:15.4430980Z,,,,,2017-12-20,2017-12-20T00:10:20.3365549Z,2017-12-20T00:10:20.3365549Z,2020-08-05T14:37:53.1007180Z,2017-12-20T01:20:13.8260000Z,929.89878852,365778.15,35140.2532153,13822511.75,,,,,,,,
10861,COINBASE_SPOT_ETC_USD,COINBASE,SPOT,ETC,USD,2022-01-06,2022-01-06T15:33:39.1148960Z,31.2,ETC-USD,ETC,USD,0.01,1e-08,,,,,,2022-01-06T15:26:56.4259100Z,,,,,2018-08-08,2018-08-08T13:13:53.4283265Z,2018-08-08T13:13:53.4283265Z,2020-08-05T14:37:46.3540640Z,2018-08-08T18:44:32.3570000Z,6051.44239,188886.76,145882.33819473,4553499.99,,,,,,,,
11677,COINBASE_SPOT_ZRX_USD,COINBASE,SPOT,ZRX,USD,2022-01-06,2022-01-06T15:37:59.5352170Z,0.7905825,ZRX-USD,ZRX,USD,1e-06,1e-05,,,,,,2022-01-06T15:30:34.9680410Z,,,,,2018-10-12,2018-10-12T14:00:37.2256850Z,2018-10-12T14:00:37.2256850Z,2020-08-05T14:37:53.7489860Z,2018-10-12T14:07:25.5610000Z,207077.71184,163742.33,9173766.66577,7253962.19,,,,,,,,
14542,COINBASE_SPOT_XLM_USD,COINBASE,SPOT,XLM,USD,2022-01-06,2022-01-06T15:33:25.0276680Z,0.266753,XLM-USD,XLM,USD,1e-06,1.0,,,,,,2022-01-06T15:25:22.6790110Z,,,,,2019-03-14,2019-03-14T01:59:38.9796658Z,2019-03-14T01:59:38.9796658Z,2020-08-05T14:37:53.0967830Z,2019-03-14T16:15:56.5170000Z,7386488.0,1971693.83,183017272.0,48853261.03,,,,,,,,
15378,COINBASE_SPOT_REP_USD,COINBASE,SPOT,REP,USD,2022-01-06,2022-01-06T15:30:52.7764900Z,16.285,REP-USD,REP,USD,0.01,1e-06,,,,,,2022-01-06T15:36:14.5335570Z,,,,,2019-04-08,2019-04-08T19:42:16.0459168Z,2019-04-08T19:42:16.0459168Z,2020-08-05T14:37:47.6107690Z,2019-04-09T16:27:13.5010000Z,212.385957,3448.49,22061.87304,358216.99,,,,,,,,
15380,COINBASE_SPOT_EOS_USD,COINBASE,SPOT,EOS,USD,2022-01-06,2022-01-06T15:31:03.1281510Z,2.875,EOS-USD,EOS,USD,0.01,0.1,,,,,,2022-01-06T15:30:40.6499350Z,,,,,2019-04-08,2019-04-08T19:42:16.0459168Z,2019-04-08T19:42:16.0459168Z,2020-08-05T14:37:53.1024810Z,2019-04-09T16:12:54.8350000Z,114323.5,328586.22,4019235.6,11552003.3,,,,,,,,
17466,COINBASE_SPOT_LINK_USD,COINBASE,SPOT,LINK,USD,2022-01-06,2022-01-06T15:39:43.0092790Z,24.05,LINK-USD,LINK,USD,0.01,0.01,,,,,,2022-01-06T15:35:35.5789930Z,,,,,2019-06-26,2019-06-26T17:15:31.4223752Z,2019-06-26T17:15:31.4223752Z,2020-08-05T14:37:53.1457610Z,2019-06-27T16:32:19.4060000Z,170476.65,4102938.6,10457438.48,251683898.91,,,,,,,,
18333,COINBASE_SPOT_XTZ_USD,COINBASE,SPOT,XTZ,USD,2022-01-06,2022-01-06T15:29:30.1253910Z,4.345,XTZ-USD,XTZ,USD,0.01,0.01,,,,,,2022-01-06T15:25:36.2915160Z,,,,,2019-08-05,2019-08-05T21:54:35.7491730Z,2019-08-05T21:54:35.7491730Z,2020-08-05T14:37:54.0087020Z,2019-08-06T16:13:54.2900000Z,209510.58,910151.05,8926082.33,38776481.83,,,,,,,,
